section|principle|marker_id|question|deficit_if|weight|evidence_required
scene_craft|psychic_distance_scene|pd-1|Does the scene maintain a single flat psychic distance throughout without narrowing for the climactic moment?|yes|2|Quote passages from the opening and turning point showing the same narrative distance
scene_craft|psychic_distance_scene|pd-2|Does the scene's most emotionally intense moment fail to reach the closest psychic distance — remaining at arm's length instead of inside the character's body, sensory, immediate?|yes|2|Quote the climactic passage and assess its distance level, noting the missed opportunity for closeness
scene_craft|psychic_distance_scene|pd-3|Are there jarring, uncontrolled distance shifts — sudden jumps from close interiority to panoramic observation or vice versa?|yes|1|Quote the passage where distance lurches
scene_craft|psychic_distance_scene|pd-4|Does the opening fail to establish a wider frame (spatial, temporal) before narrowing toward the character — instead starting at a flat, undifferentiated distance?|yes|1|Quote the opening sentences and assess their lack of deliberate distance framing
scene_craft|show_vs_tell_scenes|svt-1|Is the scene's pivotal emotional moment summarized or labeled ("She was devastated," "He felt betrayed") rather than rendered through action, dialogue, or sensory detail?|yes|2|Quote the labeled/summarized emotional moment
scene_craft|show_vs_tell_scenes|svt-2|Are mundane transitions or low-stakes passages dramatized at length while high-stakes moments are compressed?|yes|2|Identify the inverted proportion — what is over-dramatized and what is under-dramatized
scene_craft|show_vs_tell_scenes|svt-3|When the scene shows, does it also redundantly label the emotion that the showing already conveys (e.g., "'I hate you,' she said angrily")?|yes|1|Quote the redundant label alongside the showing
scene_craft|show_vs_tell_scenes|svt-4|Are told passages used inefficiently — replacing needed drama rather than serving pacing through transitions and time compression?|yes|1|Quote a told passage and assess whether it replaces needed drama instead of compressing effectively
scene_craft|thread_management|tm-1|Does the scene fail to advance or meaningfully develop any ongoing story thread — no subplot movement, no relationship shift, no thematic question explored?|yes|2|Explain which threads are present but static, or note the absence of thread development
scene_craft|thread_management|tm-2|When a dormant thread resurfaces, does it lack anchoring to its last appearance — no sensory detail, character memory, or emotional echo to reconnect the reader?|yes|1|Note the absence of an anchoring detail connecting to the thread's last appearance
scene_craft|thread_management|tm-3|Does the scene try to juggle more than three threads, losing its emotional center?|yes|1|List the threads competing for attention
scene_craft|thread_management|tm-4|Does any thread appear in this scene only to be immediately dropped without development?|yes|1|Identify the dropped thread
scene_craft|pacing_variety|pv-1|Is this scene the same type (action, dialogue, introspective, etc.), length, and intensity as the scenes immediately surrounding it?|yes|2|Identify this scene's type/length/intensity and compare to its neighbors
scene_craft|pacing_variety|pv-2|Does this scene's position fail to create deliberate rhythm — no contrast, acceleration, deceleration, or breathing room relative to surrounding scenes?|yes|1|Explain how the scene blends into its surroundings without rhythmic purpose
scene_craft|pacing_variety|pv-3|Is the scene's length a default habit rather than a deliberate expressive choice — neither short for impact nor long for immersion?|yes|1|Assess whether the length is a habit rather than a choice
prose_craft|economy_clarity|ec-1|Does the scene contain filler phrases, throat-clearing, or hedging language ("the fact that," "it was clear that," "began to," "somewhat," "rather," "slightly")?|yes|1|Quote 2-3 examples of filler
prose_craft|economy_clarity|ec-2|Are there passages where 20% or more of the words could be cut without losing meaning?|yes|2|Quote a bloated passage and show what a tighter version would look like
prose_craft|economy_clarity|ec-3|Does the prose rely on vague, abstract language rather than specific, concrete language — general nouns and imprecise verbs where particular ones are needed?|yes|2|Quote 2-3 examples of vague/abstract language that should be concrete
prose_craft|economy_clarity|ec-4|Are emotional states labeled with adjectives rather than rendered through action, sensation, or dialogue?|yes|1|Quote the labeled emotions
prose_craft|sentence_as_thought|sat-1|Do sentences routinely pile multiple unrelated thoughts into a single construction (run-ons, comma-spliced clause chains)?|yes|2|Quote a sentence doing the work of two or more
prose_craft|sentence_as_thought|sat-2|Does sentence length fail to vary — no short sentences for urgency or emphasis, no longer sentences for flow and complexity, just a monotonous default length?|yes|2|Assess the range: quote representative sentences and note the lack of variation in effect
prose_craft|sentence_as_thought|sat-3|Do paragraphs lack internal shape — reading as undifferentiated blocks rather than building, cresting, or resolving?|yes|1|Quote a paragraph and assess its lack of shape
prose_craft|sentence_as_thought|sat-4|Does the prose stumble when read aloud — awkward rhythm, unintentional tongue-twisters, or clumsy cadences?|yes|1|Quote any passages that stumble when read aloud
prose_craft|writers_toolbox|wt-1|Is the vocabulary limited and repetitive — the same words and phrases recurring across the scene?|yes|2|Quote repeated words or phrases
prose_craft|writers_toolbox|wt-2|Are verbs weak and propped up by adverbs ("walked slowly," "said angrily") rather than precise on their own ("shuffled," "snapped")?|yes|1|Quote 2-3 weak verb + adverb constructions
prose_craft|writers_toolbox|wt-3|Are metaphors and figurative language cliched, mixed, or absent — rather than fresh and organic to the material?|yes|2|Quote a metaphor and assess whether it is cliched/mixed, or note the absence of figurative language
prose_craft|writers_toolbox|wt-4|Does the writer maintain a single default register throughout — failing to shift between plain and lyrical, sparse and dense, as the scene demands?|yes|1|Note how the register stays flat rather than serving the scene's emotional movement
prose_craft|precision_language|pl-1|Is punctuation inconsistent or incorrect in ways that obscure meaning (accidental comma splices, misused semicolons, random dashes)?|yes|2|Quote passages with problematic punctuation
prose_craft|precision_language|pl-2|Does the writer default to only periods and commas — failing to use the full punctuation toolkit (dashes, semicolons, colons, fragments) for expressive effect?|yes|1|Assess the limited range of punctuation and how it underserves the prose's rhythm
prose_craft|precision_language|pl-3|When punctuation rules are broken, does the breaking feel accidental rather than deliberate and expressive?|yes|1|Quote a rule-breaking passage and assess its lack of intentionality
prose_craft|precision_language|pl-4|Does punctuation fail to control how the reader hears the prose — missing opportunities for emphasis, connection, or pause?|yes|1|Quote a passage where punctuation misses a chance to shape the reading experience
prose_craft|persuasive_structure|ps-1|Does the reader wonder "why am I being told this now?" at any point — is information placed where its relevance is not self-evident?|yes|2|Quote the passage that feels misplaced and explain where it would better serve the narrative
prose_craft|persuasive_structure|ps-2|Is exposition delivered in blocks disconnected from character experience, or is it woven into action, dialogue, and perception?|yes|2|Quote exposition that reads as information dump rather than organic revelation
prose_craft|persuasive_structure|ps-3|Does backstory arrive when the writer wants to deliver it rather than when the reader wants it — untriggered by present-scene events?|yes|1|Quote a backstory passage and assess whether the scene failed to create demand for it
prose_craft|persuasive_structure|ps-4|Are there paragraphs that do not advance the scene's purpose — digressions that break the scene's argument?|yes|1|Identify any paragraphs that do not serve the scene's core
prose_craft|fictive_dream|fd-1|Are there moments where the prose breaks the fictive dream — authorial intrusions, anachronisms, observations the POV character could not plausibly make, or clumsy phrasing that calls attention to the writing?|yes|2|Quote the dream-breaking passage
prose_craft|fictive_dream|fd-2|Does the narrative voice slip between close interiority and detached observation without purpose — psychic distance uncontrolled rather than deliberate?|yes|2|Quote a passage showing an accidental distance slip
prose_craft|fictive_dream|fd-3|Is the world of the scene internally inconsistent — does any detail contradict what has been established?|yes|1|Identify the inconsistency
prose_craft|fictive_dream|fd-4|Do observations or metaphors feel like the author's rather than the POV character's — unfiltered through the character's education, emotional state, or way of seeing?|yes|1|Quote an observation that feels like the author rather than the character
prose_craft|scene_vs_summary|svs-1|Are the scene's most emotionally significant moments compressed into summary rather than rendered in real-time scene (dialogue, action, sensory detail)?|yes|2|Identify the key emotional moment and assess whether it is summarized instead of dramatized
prose_craft|scene_vs_summary|svs-2|Does summary replace moments that deserve full dramatization — compressing material that the reader needs to experience in real-time scene?|yes|2|Quote a summary passage and assess whether the compressed material warranted scene treatment
prose_craft|scene_vs_summary|svs-3|When the prose tells rather than shows, is the telling flat and generic — lacking authority and specificity?|yes|1|Quote a told passage and assess its lack of quality
prose_craft|scene_vs_summary|svs-4|Is the proportion of scene to summary wrong — key moments summarized while less important material gets full dramatization?|yes|1|Assess overall imbalance
prose_craft|sound_rhythm_pov|srp-1|Does the prose stumble when read aloud — stumble-points, unintentional cacophony, or monotonous rhythm?|yes|2|Quote any passage that sounds wrong or monotonous when read aloud
prose_craft|sound_rhythm_pov|srp-2|Is point of view inconsistent — does the narrator slip outside the POV character's knowledge and perception, into another character's thoughts or into authorial omniscience?|yes|2|Quote any POV violation
prose_craft|sound_rhythm_pov|srp-3|Is the world filtered through a generic narrator rather than the POV character's particular way of perceiving — missing what they would notice, the metaphors they would reach for, what they would leave unsaid?|yes|1|Quote a passage and assess whether it reflects a generic narrator rather than this specific character's consciousness
prose_craft|sound_rhythm_pov|srp-4|Does sentence rhythm fail to vary with the emotional register — no urgency through short sentences, no complexity through longer ones, just a flat default?|yes|1|Assess whether rhythm fails to support the scene's emotional movement
prose_craft|permission_honesty|ph-1|Does the prose flinch from difficult emotional material — retreating into abstraction, cliche, ironic distance, or euphemism when the scene demands vulnerability?|yes|2|Quote the passage where the prose retreats from honest emotion
prose_craft|permission_honesty|ph-2|Are emotionally intense moments rendered with generic sentiment rather than specific, concrete detail ("a profound sense of loss that words could not express")?|yes|2|Quote the emotional rendering and assess its lack of specificity
prose_craft|permission_honesty|ph-3|Does the scene fall into sentimentality — performing emotion for effect rather than earning it through honest, specific observation?|yes|1|Quote any passage that feels sentimental rather than honest
prose_craft|permission_honesty|ph-4|Does the prose deflect from its most difficult moment — retreating with a joke, a change of subject, or a collapse into summary instead of committing fully?|yes|1|Quote the scene's most difficult moment and assess whether the prose deflects from it
prose_craft|prose_naturalness|pn-1|Does the prose use antithesis framing — structuring observations as contrasting pairs where the first element is negated and the second affirmed ("Not X. It's Y." or "This isn't about X — it's about Y.")?|yes|2|Quote passages with antithesis framing
prose_craft|prose_naturalness|pn-2|Are em dashes used excessively — more than one per scene, or used as a default punctuation mark rather than a deliberate stylistic choice?|yes|2|Count em dashes and quote representative examples
prose_craft|prose_naturalness|pn-3|Does the prose default to compulsive parallelism, tricolon (lists of three), or symmetrical paragraph structures — creating a mannered, over-composed rhythm?|yes|2|Quote passages with compulsive parallelism or suspiciously symmetrical structure
prose_craft|prose_naturalness|pn-4|Does the prose rely on hedging stacks ("perhaps," "somewhat," "almost as if"), signposted transitions, sweeping contextual openers, or summary closers — patterns that read as composed rather than voiced?|yes|1|Quote passages with hedging, signposting, or formulaic openings/closings
character_craft|egri_premise|ep-1|Does the scene's central conflict fail to arise from the POV character's defining trait — driven by situation alone rather than by who the character is?|yes|2|Identify the trait (or its absence) and explain how the conflict is situational rather than character-driven
character_craft|egri_premise|ep-2|Could a different character with a different nature be placed in this scene and produce the same conflict and outcome?|yes|2|Explain whether the conflict is character-specific or situational
character_craft|egri_premise|ep-3|Does the scene's conflict arise from external coincidence rather than from the collision between who the character is and what the situation demands?|yes|1|Identify the source of conflict as external rather than character-driven
character_craft|egri_premise|ep-4|Does the scene lack an articulable Egri premise — no clear "[trait] leads to [conflict] leads to [outcome]" structure?|yes|1|Explain why a premise cannot be formed
character_craft|testing_characters|tc-1|Does the POV character behave generically — reacting as "a person" would rather than as this specific individual with particular reactions, avoidances, and choices?|yes|2|Quote a moment where the character's response is generic rather than particular
character_craft|testing_characters|tc-2|Does the character lack visible inner life in this scene — no idiosyncrasies, contradictions, or private thoughts beyond their plot function?|yes|2|Note the absence of inner life beyond plot function
character_craft|testing_characters|tc-3|Do other characters fail to respond to the POV character as an individual — treating them as a plot function rather than a person with particular effects on those around them?|yes|1|Quote an interaction that lacks specific interpersonal dynamics
character_craft|testing_characters|tc-4|Does the character fail to reveal anything about themselves beyond what the plot requires — no unforced moment of action, silence, or choice that deepens understanding?|yes|1|Note the absence of a revealing moment
rules|show_dont_tell|sdt-1|Are emotional turning points labeled with adjectives ("he was angry," "she felt betrayed") rather than rendered through action, dialogue, and sensory detail?|yes|2|Quote the emotional turning point and assess how it is labeled rather than shown
rules|show_dont_tell|sdt-2|Does telling replace drama the reader needs to experience — used where showing is required, rather than purposefully for compression, transition, or narrative voice authority?|yes|2|Quote a told passage and assess whether the telling replaces needed drama
rules|show_dont_tell|sdt-3|When the show-don't-tell rule is broken, is the breaking weaker than showing would have been — neither deliberate nor more powerful?|yes|1|Quote the rule-break and assess its ineffectiveness
rules|show_dont_tell|sdt-4|Does the scene redundantly label emotions the reader can already infer from action and dialogue?|yes|1|Quote any redundant emotional labels
rules|avoid_adverbs|aa-1|Do dialogue tags include adverbs ("said angrily," "whispered softly") that duplicate meaning already present in the dialogue or action?|yes|2|Quote the adverb-laden tags
rules|avoid_adverbs|aa-2|Are action verbs routinely modified by adverbs rather than replaced by precise verbs ("walked slowly" instead of "shuffled")?|yes|2|Quote 2-3 weak verb + adverb constructions
rules|avoid_adverbs|aa-3|When adverbs appear, do they fail to create meaning the verb alone cannot — neither contradicting expectation nor adding genuinely new information?|yes|1|Quote any adverbs and assess whether they fail to earn their place
rules|avoid_adverbs|aa-4|Does the prose's energy depend on modifiers rather than coming from verbs and nouns?|yes|1|Assess the overall verb quality — quote the scene's weakest verbs propped up by modifiers
rules|avoid_passive|ap-1|Is passive voice the default construction — actions happening to characters ("was opened," "was read," "was heard") rather than characters performing them?|yes|2|Quote passages with passive constructions
rules|avoid_passive|ap-2|When passive voice appears, is it accidental rather than deliberate — not emphasizing the receiver, not creating helplessness, not obscuring agency for dramatic effect?|yes|2|Quote passive constructions and assess their lack of purpose
rules|avoid_passive|ap-3|Does active voice fail to drive the prose in action and dialogue passages — lacking energy and clarity?|yes|1|Quote an action passage and assess its lack of active voice energy
rules|avoid_passive|ap-4|Is there a cluster of passive constructions in exposition or description that drains energy from those passages?|yes|1|Quote the passive cluster
rules|write_what_you_know|wwyk-1|Does the prose convey generic or secondhand sensory and emotional details — Hollywood-derived rather than specific, textured, lived-in reality?|yes|2|Quote a passage and assess whether its sensory details feel secondhand or generic
rules|write_what_you_know|wwyk-2|Do characters in unfamiliar roles, cultures, or situations behave according to stereotype or cliche rather than observed reality?|yes|2|Quote a character's behavior and assess its reliance on stereotype
rules|write_what_you_know|wwyk-3|Are emotional experiences rendered as abstractions rather than grounded in physical and psychological specificity?|yes|1|Quote an emotional passage and assess its lack of grounding
rules|write_what_you_know|wwyk-4|Does the writer's authority over the material feel superficial — lacking the depth of experience, research, or empathetic imagination?|yes|1|Assess overall lack of authority
rules|no_weather_dreams|nwd-1|Does the scene open with weather, a dream, or waking up?|yes|1|Quote the opening
rules|no_weather_dreams|nwd-2|If the scene opens with weather/dream/waking, does the choice delay the introduction of character and conflict with no compensating benefit?|yes|2|Assess whether the opening would improve if cut or replaced
rules|no_weather_dreams|nwd-3|If the scene opens with weather/dream/waking, does the opening fail to do triple duty — not establishing atmosphere AND introducing character AND creating tension simultaneously?|yes|2|Assess whether the opening fails to earn its place by doing more than one thing
rules|no_weather_dreams|nwd-4|If the scene does not open with weather/dream/waking, does it still fail to begin with character in action, conflict, or a moment of engagement?|yes|1|Quote the opening and assess how it fails to engage the reader quickly
rules|avoid_said_bookisms|asb-1|Do dialogue tags use varied attributions ("exclaimed," "declared," "queried," "opined") where "said" or no tag would serve better?|yes|2|Quote the said-bookisms
rules|avoid_said_bookisms|asb-2|Is "said" distractingly visible — does the reader get pulled from the dialogue by tags rather than tracking speakers through rhythm, action beats, and context?|yes|2|Assess how dialogue attribution distracts — quote representative exchanges
rules|avoid_said_bookisms|asb-3|When alternatives to "said" appear, do they fail to carry information "said" cannot — offering no value over "said" in volume, irony, or tone?|yes|1|Quote any non-said tags and assess whether they fail to earn their place
rules|avoid_said_bookisms|asb-4|Are action beats absent or ineffective — failing to identify speakers and add texture to dialogue exchanges?|yes|1|Note the absence or weakness of action beats in dialogue
rules|kill_darlings|kd-1|Does the scene contain passages that serve the writer's craft display rather than the story's needs — beautiful writing that stops the narrative, clever metaphors that call attention to the author?|yes|2|Quote the self-indulgent passage and explain why it does not serve the scene
rules|kill_darlings|kd-2|Do lyrical or ambitious passages fail to advance character, plot, or theme — existing for their own beauty rather than serving the scene's purpose?|yes|2|Quote the most ambitious passage and assess whether it fails to serve the scene's purpose
rules|kill_darlings|kd-3|Is there a passage, scene, or digression that could be cut without the reader noticing a gap?|yes|1|Identify what could be cut
rules|kill_darlings|kd-4|Is the scene's length inflated by material the writer was reluctant to cut — longer than its narrative importance warrants?|yes|1|Assess whether the scene fails to earn its length
